시도교육청코드,시도교육청명,표준학교코드,학교명,영문학교명,학교종류명,소재지도로명주소,학교상태명,설립일자
B10,서울특별시교육청,7010074,고척고등학교,Gocheok High School,고등학교,서울특별시 구로구 중앙로15길 38 (고척동),설립,20030303
B10,서울특별시교육청,7010075,공항고등학교,Gonghang High School,고등학교,서울특별시 강서구 공항대로42길 21 (공항동),설립,19930305
B10,서울특별시교육청,7010076,관악고등학교,Gwanak High School,고등학교,서울특별시 영등포구 문래로 185 (영등포동8가),설립,19740105
B10,서울특별시교육청,7010077,광남고등학교,Gwangnam High School,고등학교,서울특별시 광진구 아차산로70길 27 (광장동),설립,19860303
B10,서울특별시교육청,7010078,광문고등학교,Gwangmoon High School,고등학교,서울특별시 강동구 상암로 205 (암사동),설립,19851210
B10,서울특별시교육청,7010079,광성고등학교,Kwangsung High School,고등학교,서울특별시 마포구 신수동 1-1,설립,18940405
B10,서울특별시교육청,7010080,광신고등학교,Kwangshin High School,고등학교,서울특별시 관악구 광신길 11 (신림동),설립,19071001
B10,서울특별시교육청,7010081,광영고등학교,Kwangyoung High School,고등학교,서울특별시 양천구 신월로 130 (신월동),설립,19871215
B10,서울특별시교육청,7010082,광영여자고등학교,Kwangyoung Girls High School,고등학교,서울특별시 양천구 신월로 130 (신월동),설립,19821230
B10,서울특별시교육청,7010083,구로고등학교,Guro High School,고등학교,서울특별시 구로구 가마산로27길 45 (구로동),설립,19820302
B10,서울특별시교육청,7010084,구암고등학교,Guam High School,고등학교,서울특별시 관악구 국회단지5길 12 (봉천동),설립,20010105
B10,서울특별시교육청,7010085,구일고등학교,Guil High School,고등학교,서울특별시 구로구 구일로 132 (구로동),설립,19960304
B10,서울특별시교육청,7010086,국사봉고등학교,Guksabong High School,고등학교,서울특별시 동작구 상도로15길 101 (상도동),설립,20020125
B10,서울특별시교육청,7010087,금옥여자고등학교,Keumok Girls High School,고등학교,서울특별시 양천구 목동중앙북로 10 (목동),설립,19801227
B10,서울특별시교육청,7010088,금천고등학교,Geumcheon High School,고등학교,서울특별시 금천구 시흥대로12길 90 (시흥동),설립,19801227
B10,서울특별시교육청,7010089,누원고등학교,Nuwon High School,고등학교,서울특별시 도봉구 마들로 658 (방학동),설립,19970115
B10,서울특별시교육청,7010090,단국대학교부속고등학교,Dankook University High School,고등학교,서울특별시 강남구 도곡로64길 20 (대치동),설립,19830804
B10,서울특별시교육청,7010091,대광고등학교,Daikwang High School,고등학교,서울특별시 동대문구 왕산로 213 (신설동),설립,19470725
B10,서울특별시교육청,7010092,대동고등학교,Daedong High School,고등학교,서울특별시 영등포구 대림로27길 13 (대림동),설립,19400420
B10,서울특별시교육청,7010093,대성고등학교,Daesung High School,고등학교,서울특별시 은평구 통일로 850 (불광동),설립,19681218
B10,서울특별시교육청,7010094,대신고등학교,Daeshin High School,고등학교,서울특별시 종로구 사직로 9 (행촌동),설립,19380401
B10,서울특별시교육청,7010095,대원고등학교,Daewon High School,고등학교,서울특별시 광진구 용마산로 22 (중곡동),설립,19821130
B10,서울특별시교육청,7010096,대원여자고등학교,Daewon Girls High School,고등학교,서울특별시 광진구 용마산로 22 (중곡동),설립,19821130
B10,서울특별시교육청,7010097,대일고등학교,Daeil High School,고등학교,서울특별시 강서구 화곡로65길 62 (화곡동),설립,19730629
B10,서울특별시교육청,7010098,대진고등학교,Daejin High School,고등학교,서울특별시 노원구 공릉로 438 (하계동),설립,19841217
B10,서울특별시교육청,7010099,대진여자고등학교,Daejin Girls High School,고등학교,서울특별시 노원구 공릉로 438 (하계동),설립,19871215
B10,서울특별시교육청,7010100,덕성여자고등학교,Duksung Girls High School,고등학교,서울특별시 종로구 율곡로 180 (운니동),설립,19200419
B10,서울특별시교육청,7010101,덕원여자고등학교,Dukwon Girls High School,고등학교,서울특별시 강서구 곰달래로 212 (화곡동),설립,19781229
B10,서울특별시교육청,7010102,도선고등학교,Dosun High School,고등학교,서울특별시 성동구 마장로 161 (하왕십리동),설립,20180301
B10,서울특별시교육청,7010103,독산고등학교,Doksan High School,고등학교,서울특별시 금천구 독산로 205 (독산동),설립,19970115
B10,서울특별시교육청,7010104,동국대학교사범대학부속고등학교,Dongguk University High School,고등학교,서울특별시 동대문구 장안벚꽃로 20 (장안동),설립,19470624
B10,서울특별시교육청,7010105,동국대학교사범대학부속여자고등학교,Dongguk University Girls High School,고등학교,서울특별시 광진구 동일로 340 (중곡동),설립,19300501
B10,서울특별시교육청,7010106,동덕여자고등학교,Dongduk Girls High School,고등학교,서울특별시 서초구 방배로 20 (방배동),설립,19260318
B10,서울특별시교육청,7010107,동명여자고등학교,Dongmyung Girls High School,고등학교,서울특별시 은평구 통일로 786 (불광동),설립,19440310
B10,서울특별시교육청,7010108,동북고등학교,Dongbuk High School,고등학교,서울특별시 강동구 강동대로 235 (둔촌동),설립,19530604
B10,서울특별시교육청,7010109,동성고등학교,Dongsung High School,고등학교,서울특별시 종로구 혜화로 9 (혜화동),설립,19071006
B10,서울특별시교육청,7010110,동양고등학교,Dongyang High School,고등학교,서울특별시 강서구 양천로55길 33 (가양동),설립,19390330
B10,서울특별시교육청,7010111,동일여자고등학교,Dongil Girls High School,고등학교,서울특별시 금천구 시흥대로 149 (시흥동),설립,19721226
B10,서울특별시교육청,7010112,둔촌고등학교,Dunchon High School,고등학교,서울특별시 강동구 명일로 185 (명일동),설립,19800426
B10,서울특별시교육청,7010113,명덕고등학교,Myungduk High School,고등학교,서울특별시 강서구 강서로45길 69 (내발산동),설립,19771013
B10,서울특별시교육청,7010114,명덕여자고등학교,Myungduk Girls High School,고등학교,서울특별시 강서구 강서로45길 69 (내발산동),설립,19821211
B10,서울특별시교육청,7010115,명지고등학교,Myongji High School,고등학교,서울특별시 서대문구 명지2길 20 (홍은동),설립,19480729
B10,서울특별시교육청,7010116,명일여자고등학교,Myungil Girls High School,고등학교,서울특별시 강동구 상암로 282 (명일동),설립,19871215
B10,서울특별시교육청,7010117,목동고등학교,Mokdong High School,고등학교,서울특별시 양천구 목동서로 387 (신정동),설립,19890228
B10,서울특별시교육청,7010118,무학여자고등학교,Muhak Girls High School,고등학교,서울특별시 성동구 행당로 120 (행당동),설립,19400501
B10,서울특별시교육청,7010119,문일고등학교,Munil High School,고등학교,서울특별시 금천구 시흥대로 30 (시흥동),설립,19600301
B10,서울특별시교육청,7010120,문정고등학교,Munjeong High School,고등학교,서울특별시 송파구 문정로 150 (문정동),설립,19941227
B10,서울특별시교육청,7010121,미림여자고등학교,Mirim Girls High School,고등학교,서울특별시 관악구 호암로 546 (신림동),설립,19790131
B10,서울특별시교육청,7010122,반포고등학교,Banpo High School,고등학교,서울특별시 서초구 신반포로15길 16 (반포동),설립,19821130
B10,서울특별시교육청,7010123,방산고등학교,Bangsan High School,고등학교,서울특별시 송파구 위례성대로 46 (방이동),설립,19971226
B10,서울특별시교육청,7010124,방학중학교,Banghak Middle School,중학교,서울특별시 도봉구 시루봉로 111 (방학동),설립,19841226
B10,서울특별시교육청,7010125,배명고등학교,Paichai High School,고등학교,서울특별시 송파구 올림픽로 849 (잠실동),설립,19340420
B10,서울특별시교육청,7010126,배문고등학교,Paemoon High School,고등학교,서울특별시 용산구 효창원로 238 (효창동),설립,19530901
B10,서울특별시교육청,7010127,배재고등학교,Pai Chai High School,고등학교,서울특별시 강동구 고덕로 227 (고덕동),설립,18850803
B10,서울특별시교육청,7010128,배화여자고등학교,Paiwha Girls High School,고등학교,서울특별시 종로구 필운대로1길 34 (필운동),설립,18981002
B10,서울특별시교육청,7010129,백암고등학교,Paekahm High School,고등학교,서울특별시 양천구 목동동로 155 (목동),설립,19870130
B10,서울특별시교육청,7010130,보성고등학교,Posung High School,고등학교,서울특별시 송파구 양재대로 1278 (방이동),설립,19060905
B10,서울특별시교육청,7010131,보성여자고등학교,Posung Girls High School,고등학교,서울특별시 용산구 두텁바위로 55 (용산동2가),설립,19070911
B10,서울특별시교육청,7010132,보인고등학교,Poin High School,고등학교,서울특별시 송파구 오금로49길 2 (오금동),설립,19080601
B10,서울특별시교육청,7010133,봉림중학교,Bonglim Middle School,중학교,서울특별시 관악구 장군봉1길 35 (봉천동),설립,19850304
B10,서울특별시교육청,7010134,불암고등학교,Buram High School,고등학교,서울특별시 노원구 한글비석로 416 (상계동),설립,19881224
B10,서울특별시교육청,7010135,상계고등학교,Sanggye High School,고등학교,서울특별시 노원구 덕릉로 706 (상계동),설립,19880504
B10,서울특별시교육청,7010136,상명고등학교,Sangmyung High School,고등학교,서울특별시 노원구 덕릉로 531 (중계동),설립,19371210
B10,서울특별시교육청,7010137,상명대학교사범대학부속여자고등학교,Sangmyung University High School for Girls,고등학교,서울특별시 종로구 홍지문2길 1 (홍지동),설립,19371210
B10,서울특별시교육청,7010138,상문고등학교,Sangmoon High School,고등학교,서울특별시 서초구 명달로 13 (방배동),설립,19721229
B10,서울특별시교육청,7010139,상암고등학교,Sangam High School,고등학교,서울특별시 마포구 월드컵북로 30 (상암동),설립,20070302
B10,서울특별시교육청,7010140,서라벌고등학교,Sorabol High School,고등학교,서울특별시 노원구 한글비석로 502 (상계동),설립,19560322
B10,서울특별시교육청,7010141,서문여자고등학교,Seomoon Girls High School,고등학교,서울특별시 서초구 효령로 11 (방배동),설립,19721229
B10,서울특별시교육청,7010142,서울고등학교,Seoul High School,고등학교,서울특별시 서초구 효령로 197 (서초동),설립,19460201
B10,서울특별시교육청,7010143,서울공업고등학교,Seoul Technical High School,고등학교,서울특별시 동작구 대방동1길 8,설립,18990501
B10,서울특별시교육청,7010144,서울과학고등학교,Seoul Science High School,고등학교,서울특별시 종로구 혜화로 61 (혜화동),설립,19890901
B10,서울특별시교육청,7010145,서울대학교사범대학부설고등학교,Seoul National University High School,고등학교,서울특별시 성북구 종암로 110 (종암동),설립,19460901
B10,서울특별시교육청,7010146,서울대학교사범대학부설여자중학교,Seoul National University Girls Middle School,중학교,서울특별시 종로구 이화장길 74 (동숭동),설립,19460901
B10,서울특별시교육청,7010147,서울문영여자고등학교,Seoul Munyeong Girls High School,고등학교,서울특별시 관악구 남부순환로 1685 (봉천동),설립,19540331
B10,서울특별시교육청,7010148,서울미술고등학교,Seoul Arts High School,고등학교,서울특별시 관악구 행운1나길 13 (행운동),설립,19711101
B10,서울특별시교육청,7010149,서울세종고등학교,Seoul Sejong High School,고등학교,서울특별시 강남구 광평로39길 40 (수서동),설립,19480915
B10,서울특별시교육청,7010150,서울여자고등학교,Seoul Girls High School,고등학교,서울특별시 마포구 마포대로11길 43-2 (공덕동),설립,19400401
B10,서울특별시교육청,7010151,서울중앙고등학교,Seoul Choongang High School,고등학교,서울특별시 종로구 창덕궁길 164 (계동),설립,19080601
B10,서울특별시교육청,7010152,서초고등학교,Seocho High School,고등학교,서울특별시 서초구 반포대로 176 (서초동),설립,19860305
B10,서울특별시교육청,7010153,석관고등학교,Seokgwan High School,고등학교,서울특별시 성북구 화랑로 215 (석관동),설립,19821230
B10,서울특별시교육청,7010154,선덕고등학교,Sunduck High School,고등학교,서울특별시 도봉구 시루봉로 49 (쌍문동),설립,19810115
B10,서울특별시교육청,7010155,선린인터넷고등학교,Sunrin Internet High School,고등학교,서울특별시 용산구 원효로97길 33-4 (청파동3가),설립,18990601
B10,서울특별시교육청,7010156,선사고등학교,Seonsa High School,고등학교,서울특별시 강동구 고덕로 41 (암사동),설립,20070302
B10,서울특별시교육청,7010157,선유고등학교,Seonyu High School,고등학교,서울특별시 영등포구 선유서로 101 (양평동3가),설립,20040303
B10,서울특별시교육청,7010158,선일여자고등학교,Sunil Girls High School,고등학교,서울특별시 은평구 통일로 909 (갈현동),설립,19650305
B10,서울특별시교육청,7010159,선정고등학교,Sunjung High School,고등학교,서울특별시 은평구 서오릉로 20 (갈현동),설립,19500626
B10,서울특별시교육청,7010160,성남고등학교,Sungnam High School,고등학교,서울특별시 동작구 대방동길 82 (대방동),설립,19360501
B10,서울특별시교육청,7010161,성덕고등학교,Seongdeok High School,고등학교,서울특별시 강동구 아리수로 421 (강일동),설립,20100302
B10,서울특별시교육청,7010162,성동고등학교,Seongdong High School,고등학교,서울특별시 중구 퇴계로 450 (흥인동),설립,19460306
B10,서울특별시교육청,7010163,성보고등학교,Sungbo High School,고등학교,서울특별시 관악구 신림로 145 (신림동),설립,19730629
B10,서울특별시교육청,7010164,성수고등학교,Seongsu High School,고등학교,서울특별시 성동구 뚝섬로 360 (성수동2가),설립,19960304
B10,서울특별시교육청,7010165,성심여자고등학교,Sungshim Girls High School,고등학교,서울특별시 용산구 원효로53길 12 (원효로4가),설립,19460910
B10,서울특별시교육청,7010166,세종과학고등학교,Sejong Science High School,고등학교,서울특별시 구로구 오리로 1130 (궁동),설립,20080303
B10,서울특별시교육청,7010167,세화고등학교,Sehwa High School,고등학교,서울특별시 서초구 신반포로 56-7 (반포동),설립,19861203
B10,서울특별시교육청,7010168,세화여자고등학교,Sehwa Girls High School,고등학교,서울특별시 서초구 신반포로 56-7 (반포동),설립,19780301
B10,서울특별시교육청,7010169,송곡고등학교,Songgok High School,고등학교,서울특별시 중랑구 양원역로 48 (망우동),설립,19600219
B10,서울특별시교육청,7010170,송곡관광고등학교,Songgok Tourism High School,고등학교,서울특별시 중랑구 양원역로 48 (망우동),설립,19600219
B10,서울특별시교육청,7010171,송곡여자고등학교,Songgok Girls High School,고등학교,서울특별시 중랑구 양원역로 48 (망우동),설립,19721229
B10,서울특별시교육청,7010172,수도여자고등학교,Sudo Girls High School,고등학교,서울특별시 동작구 여의대방로 53 (신대방동),설립,19460820
B10,서울특별시교육청,7010173,수락고등학교,Surak High School,고등학교,서울특별시 노원구 동일로 280 (상계동),설립,19960304
B10,서울특별시교육청,7010174,수명고등학교,Soomyung High School,고등학교,서울특별시 강서구 수명로2길 49 (내발산동),설립,20090302
B10,서울특별시교육청,7010175,숙명여자고등학교,Sookmyung Girls High School,고등학교,서울특별시 강남구 도곡로62길 7 (도곡동),설립,19060522
B10,서울특별시교육청,7010176,숭문고등학교,Soongmoon High School,고등학교,서울특별시 마포구 대흥로 140 (대흥동),설립,19060401
B10,서울특별시교육청,7010177,숭실고등학교,Soongsil High School,고등학교,서울특별시 은평구 신사로 1 (신사동),설립,18971010
B10,서울특별시교육청,7010178,숭의여자고등학교,Soongeui Girls High School,고등학교,서울특별시 동작구 상도로39가길 10 (대방동),설립,19031031
B10,서울특별시교육청,7010179,신광여자고등학교,Shinkwang Girls High School,고등학교,서울특별시 용산구 후암로 39 (후암동),설립,19460820
B10,서울특별시교육청,7010180,신도고등학교,Shindo High School,고등학교,서울특별시 은평구 진관3로 3-19 (진관동),설립,20080303
B10,서울특별시교육청,7010181,신도림고등학교,Sindorim High School,고등학교,서울특별시 구로구 신도림로 15 (신도림동),설립,20070302
B10,서울특별시교육청,7010182,신림고등학교,Shillim High School,고등학교,서울특별시 관악구 신림로23길 17 (신림동),설립,19841226
B10,서울특별시교육청,7010183,신목고등학교,Shinmok High School,고등학교,서울특별시 양천구 목동서로 120 (목동),설립,19860305
B10,서울특별시교육청,7010184,신일고등학교,Shinil High School,고등학교,서울특별시 강북구 솔매로49길 17 (미아동),설립,19630105
B10,서울특별시교육청,7010185,신현고등학교,Shinhyeon High School,고등학교,서울특별시 중랑구 봉화산로 180 (신내동),설립,19970115
B10,서울특별시교육청,7010186,압구정고등학교,Apgujeong High School,고등학교,서울특별시 강남구 압구정로39길 49 (압구정동),설립,19870309
B10,서울특별시교육청,7010187,양재고등학교,Yangjae High School,고등학교,서울특별시 서초구 마방로2길 1 (양재동),설립,19900526
B10,서울특별시교육청,7010188,양정고등학교,Yangchung High School,고등학교,서울특별시 양천구 안양천로 1039 (목동),설립,19050501
B10,서울특별시교육청,7010189,양천고등학교,Yangcheon High School,고등학교,서울특별시 양천구 목동중앙북로7길 25 (목동),설립,19851217
B10,서울특별시교육청,7010190,언남고등학교,Eonnam High School,고등학교,서울특별시 서초구 강남대로107길 31 (잠원동),설립,19860305
B10,서울특별시교육청,7010191,여의도고등학교,Yoido High School,고등학교,서울특별시 영등포구 여의나루로 69 (여의도동),설립,19721226
B10,서울특별시교육청,7010192,여의도여자고등학교,Yoido Girls High School,고등학교,서울특별시 영등포구 여의동로 255 (여의도동),설립,19791219
B10,서울특별시교육청,7010193,염광고등학교,Yumkwang High School,고등학교,서울특별시 노원구 월계로 298 (월계동),설립,19660315
B10,서울특별시교육청,7010194,영동고등학교,Youngdong High School,고등학교,서울특별시 강남구 선릉로 653 (논현동),설립,19721229
B10,서울특별시교육청,7010195,영등포고등학교,Yeongdeungpo High School,고등학교,서울특별시 동작구 여의대방로11길 33 (신대방동),설립,19590227
B10,서울특별시교육청,7010196,영등포여자고등학교,Yeongdeungpo Girls High School,고등학교,서울특별시 영등포구 영신로 235 (영등포동),설립,19420511
B10,서울특별시교육청,7010197,영락고등학교,Youngnak High School,고등학교,서울특별시 관악구 국회단지3길 11 (봉천동),설립,19520505
B10,서울특별시교육청,7010198,영신고등학교,Youngshin High School,고등학교,서울특별시 영등포구 신길로 20 (신길동),설립,19480927
B10,서울특별시교육청,7010199,영신여자고등학교,Youngshin Girls High School,고등학교,서울특별시 노원구 화랑로 481 (공릉동),설립,19871215
B10,서울특별시교육청,7010200,영일고등학교,Youngil High School,고등학교,서울특별시 강서구 남부순환로 560 (등촌동),설립,19721229
B10,서울특별시교육청,7010201,영파여자고등학교,Youngpa Girls High School,고등학교,서울특별시 송파구 마천로 306 (마천동),설립,19740105
B10,서울특별시교육청,7010202,영훈고등학교,Younghoon High School,고등학교,서울특별시 강북구 도봉로 136 (미아동),설립,19690305
B10,서울특별시교육청,7010203,예일여자고등학교,Yeil Girls High School,고등학교,서울특별시 은평구 연서로 189 (구산동),설립,19661115
B10,서울특별시교육청,7010204,오금고등학교,Ogeum High School,고등학교,서울특별시 송파구 오금로45길 12 (오금동),설립,19900526
B10,서울특별시교육청,7010205,오류고등학교,Oryu High School,고등학교,서울특별시 구로구 연동로 320 (오류동),설립,20100302
B10,서울특별시교육청,7010206,오산고등학교,Osan High School,고등학교,서울특별시 용산구 보광로 7 (보광동),설립,19071224
B10,서울특별시교육청,7010207,용문고등학교,Yongmoon High School,고등학교,서울특별시 성북구 안암로 10 (안암동5가),설립,19460925
B10,서울특별시교육청,7010208,용산고등학교,Yongsan High School,고등학교,서울특별시 용산구 두텁바위로 60 (용산동2가),설립,19460901
B10,서울특별시교육청,7010209,용화여자고등학교,Yonghwa Girls High School,고등학교,서울특별시 노원구 동일로 238 (공릉동),설립,19871215
B10,서울특별시교육청,7010210,우신고등학교,Wooshin High School,고등학교,서울특별시 구로구 부일로 843 (궁동),설립,19740105
B10,서울특별시교육청,7010211,월계고등학교,Wolgye High School,고등학교,서울특별시 노원구 월계로 370 (월계동),설립,19970115
B10,서울특별시교육청,7010212,은광여자고등학교,Eunkwang Girls High School,고등학교,서울특별시 강남구 삼성로 515 (삼성동),설립,19460617
B10,서울특별시교육청,7010213,은평고등학교,Eunpyeong High School,고등학교,서울특별시 은평구 가좌로 350 (신사동),설립,20020125
B10,서울특별시교육청,7010214,이화여자고등학교,Ewha Girls High School,고등학교,서울특별시 중구 정동길 26 (정동),설립,18860531
B10,서울특별시교육청,7010215,이화여자대학교사범대학부속이화금란고등학교,Ewha Womans University High School,고등학교,서울특별시 서대문구 성산로 560 (대신동),설립,19540310
B10,서울특별시교육청,7010216,인창고등학교,Inchang High School,고등학교,서울특별시 서대문구 독립문공원길 51 (현저동),설립,19220601
B10,서울특별시교육청,7010217,인헌고등학교,Inheon High School,고등학교,서울특별시 관악구 남부순환로 1887 (봉천동),설립,19851217
B10,서울특별시교육청,7010218,자운고등학교,Jaun High School,고등학교,서울특별시 도봉구 해등로 136 (창동),설립,20040303
B10,서울특별시교육청,7010219,잠신고등학교,Jamsin High School,고등학교,서울특별시 송파구 잠실로 12 (잠실동),설립,19881213
B10,서울특별시교육청,7010220,잠실고등학교,Jamsil High School,고등학교,서울특별시 송파구 올림픽로33길 99 (신천동),설립,19821230
B10,서울특별시교육청,7010221,잠실여자고등학교,Jamsil Girls High School,고등학교,서울특별시 송파구 송파대로28길 17 (가락동),설립,19800426
B10,서울특별시교육청,7010222,잠일고등학교,Jamil High School,고등학교,서울특별시 송파구 올림픽로35길 125 (신천동),설립,19971226
B10,서울특별시교육청,7010223,장충고등학교,Jangchung High School,고등학교,서울특별시 중구 동호로 330 (신당동),설립,19340418
B10,서울특별시교육청,7010224,재현고등학교,Jaehyun High School,고등학교,서울특별시 노원구 덕릉로 531 (중계동),설립,19821230
B10,서울특별시교육청,7010225,정신여자고등학교,Chungshin Girls High School,고등학교,서울특별시 송파구 올림픽로 435 (잠실동),설립,18870611
B10,서울특별시교육청,7010226,정의여자고등학교,Chung-eui Girls High School,고등학교,서울특별시 도봉구 시루봉로 49 (쌍문동),설립,19701229
B10,서울특별시교육청,7010227,중경고등학교,Joongkyung High School,고등학교,서울특별시 용산구 이태원로 20 (용산동2가),설립,19600315
B10,서울특별시교육청,7010228,중동고등학교,Joongdong High School,고등학교,서울특별시 강남구 일원로 7 (일원동),설립,19060420
B10,서울특별시교육청,7010229,중산고등학교,Joongsan High School,고등학교,서울특별시 강남구 삼성로 30 (일원동),설립,19931229
B10,서울특별시교육청,7010230,중앙고등학교,Choongang High School,고등학교,서울특별시 종로구 창덕궁길 164 (계동),설립,19080601
B10,서울특별시교육청,7010231,중앙대학교사범대학부속고등학교,Chung-Ang University High School,고등학교,서울특별시 강남구 선릉로 653 (논현동),설립,19340401
B10,서울특별시교육청,7010232,중앙여자고등학교,Choong-ang Girls High School,고등학교,서울특별시 서대문구 충정로9길 31 (충정로2가),설립,19401115
B10,서울특별시교육청,7010233,중화고등학교,Junghwa High School,고등학교,서울특별시 중랑구 봉화산로 121 (중화동),설립,19851217
B10,서울특별시교육청,7010234,진관고등학교,Jingwan High School,고등학교,서울특별시 은평구 진관2로 57-17 (진관동),설립,20110301
B10,서울특별시교육청,7010235,진명여자고등학교,Jinmyung Girls High School,고등학교,서울특별시 양천구 목동서로 225 (목동),설립,19060401
B10,서울특별시교육청,7010236,진선여자고등학교,Jinsun Girls High School,고등학교,서울특별시 강남구 삼성로63길 43 (대치동),설립,19761228
B10,서울특별시교육청,7010237,창덕여자고등학교,Changduk Girls High School,고등학교,서울특별시 송파구 양재대로 1240 (방이동),설립,19410416
B10,서울특별시교육청,7010238,창동고등학교,Changdong High School,고등학교,서울특별시 도봉구 노해로 336 (창동),설립,19881224
B10,서울특별시교육청,7010239,창문여자고등학교,Changmoon Girls High School,고등학교,서울특별시 강북구 오패산로 192 (미아동),설립,19721229
B10,서울특별시교육청,7010240,청담고등학교,Chungdam High School,고등학교,서울특별시 강남구 압구정로 419 (압구정동),설립,19900228
B10,서울특별시교육청,7010241,청량고등학교,Cheongnyang High School,고등학교,서울특별시 동대문구 망우로 107 (휘경동),설립,19821230
B10,서울특별시교육청,7010242,청원고등학교,Chungwon High School,고등학교,서울특별시 노원구 한글비석로 502 (상계동),설립,19520522
B10,서울특별시교육청,7010243,청원여자고등학교,Chungwon Girls High School,고등학교,서울특별시 노원구 한글비석로 502 (상계동),설립,19690228
B10,서울특별시교육청,7010244,충암고등학교,Choongam High School,고등학교,서울특별시 은평구 가좌로 5 (응암동),설립,19650209
B10,서울특별시교육청,7010245,태릉고등학교,Taereung High School,고등학교,서울특별시 중랑구 신내로 211 (신내동),설립,19970115
B10,서울특별시교육청,7010246,풍문고등학교,Poongmoon High School,고등학교,서울특별시 강남구 자곡로 152 (자곡동),설립,19440913
B10,서울특별시교육청,7010247,한가람고등학교,Hangaram High School,고등학교,서울특별시 양천구 목동동로 100 (목동),설립,19970306
B10,서울특별시교육청,7010248,한강미디어고등학교,Hangang Media High School,고등학교,서울특별시 용산구 한강대로40길 27 (한강로2가),설립,19550427
B10,서울특별시교육청,7010249,한광고등학교,Hankwang High School,고등학교,서울특별시 강서구 강서로45길 11 (내발산동),설립,19950114
B10,서울특별시교육청,7010250,한서고등학교,Hansuh High School,고등학교,서울특별시 강서구 강서로 136 (화곡동),설립,19821230
B10,서울특별시교육청,7010251,한성고등학교,Hansung High School,고등학교,서울특별시 서대문구 통일로 369-1 (독립문로),설립,19451008
B10,서울특별시교육청,7010252,한성과학고등학교,Hansung Science High School,고등학교,서울특별시 서대문구 통일로 351-65 (홍제동),설립,19920302
B10,서울특별시교육청,7010253,한세사이버보안고등학교,Hansei Cyber Security High School,고등학교,서울특별시 마포구 마포대로11길 44-8 (아현동),설립,19941004
B10,서울특별시교육청,7010254,한양공업고등학교,Hanyang Technical High School,고등학교,서울특별시 중구 을지로 299 (을지로7가),설립,19451201
B10,서울특별시교육청,7010255,한양대학교사범대학부속고등학교,Hanyang University High School,고등학교,서울특별시 성동구 마조로 42 (사근동),설립,19600219
B10,서울특별시교육청,7010256,해성여자고등학교,Haesung Girls High School,고등학교,서울특별시 동대문구 전농로 172 (전농동),설립,19550311
B10,서울특별시교육청,7010257,혜성여자고등학교,Hyesung Girls High School,고등학교,서울특별시 노원구 동일로 216 (공릉동),설립,19821230
B10,서울특별시교육청,7010258,혜원여자고등학교,Hyewon Girls High School,고등학교,서울특별시 중랑구 동일로123길 11 (중화동),설립,19681203
B10,서울특별시교육청,7010259,혜화여자고등학교,Hyehwa Girls High School,고등학교,서울특별시 강북구 혜화로 9 (혜화동),설립,19550409
